P00027739T0000|0 28|Serum gamma glutamyltransferase
P10567533A0818|113 127|tyrosine kinases
P10567538A1028|41 44|p300
P10567581A0119|25 29|HNF-3
P10567582A1334|48 52|CtBP2
P10567589A1268|58 72|nuclear proteins
P10568728A1445|10 28|serum creatine kinase
P10568744A0728|93 98|alpha2
P10570262A0000|24 26|TCR
P10570996A1213|183 189|insulin
P10571047A1009|88 103|HindIII fragments
P10572087A0326|35 60|Fanconi anemia group C protein
P10572130A1623|91 103|RNA polymerase
P10572131A0000|73 87|nasFEDCBA operon
P10574913A1108|95 97|Src
P10574913A1108|177 179|ERK
P10574913A1108|224 226|ERK
P10574982A1075|62 71|USF-1 and -2
P10574992A0901|27 30|p300
P10574992A0901|163 166|PARP
P10574992A0901|32 34|CBP
P10574992A0901|11 13|E1A
P10576545A0926|57 77|murine D1A gene promoter
P10579722T0000|64 73|Rho-kinase
P10579722T0000|45 61|myosin phosphatase
P10584704A0913|109 119|cytokeratin
P10585440A0204|50 55|DFak56
P10585453A1029|148 152|Pit-1
P10585453A1029|158 163|hGH LCR
P10585480A0157|43 73|guanine nucleotide exchange factor
P10585480A0157|83 85|Rac
P10585480A0157|77 79|Ras
P10585480A0265|24 32|SH3 domain
P10585491A0945|360 368|cytokinin
P10585491A0945|45 47|CBF
P10586115A0477|132 137|PKCeta
P10586115A0477|82 90|TNF-alpha
P10586115A0477|103 106|IL-6
P10586115A0477|94 97|IL-6
P10587460A0302|43 45|VDR
P10587576A0596|86 100|SH3GL pseudogene
P10588946A0432|68 72|ORP-6
P10590092A0124|28 36|HIV-1 gene
P10592791T0001|41 66|staphylococcal enterotoxins
P10593939A0747|171 178|SR family
P10593939A0747|230 234|U-70K
P10593950A1113|10 12|WT1
P10594239T0000|71 74|Tih1
P10597222A1371|89 91|p21
P10597223A0339|68 70|p21
P10597223A0339|20 22|Ras
P10597232A0000|45 48|ELE1
P10597317A1156|179 181|JNK
P10598101A0000|34 35|O2
P10600171A1066|91 107|CYP3A2 DexRE-1 site
P10601335A0892|16 27|mannosidase I
P10601344A1653|173 177|Cdc42
P10601344A1653|153 156|RhoA
P10601344A1653|160 163|Rac1
P10602502A0422|18 21|Tob2
P10602502A0422|61 62|G1
P10602507A0652|96 103|cyclin D1
P10602507A0652|23 30|cyclin D1
P10602507A0652|166 185|dominant-negative p53
P10602507A0652|34 36|p21
P10602507A0652|148 150|p21
P10602507A0652|110 112|p53
P10602507A0652|105 108|cdk4
P10602507A0652|132 136|CSF-1
P10603349A1667|70 73|Myf5
P10603349A1667|145 148|Myf5
P10606245A0906|72 81|OC promoter
P10606272A1241|78 84|SF1 gene
P10606515A0389|92 97|DNase I
P10607566A0880|26 37|beta-catenin
P10607566A0880|166 177|beta-catenin
P10607566A0880|145 147|RAR
P10607566A0880|137 139|RXR
P10607566A0880|74 76|RAR
P10607899A0605|88 90|Sp1
P10607899A0605|92 95|CREB
P10607899A0605|114 140|estrogen receptor binding site
P10610716A1127|74 84|human AC gene
P10611225A1127|130 145|C-terminal region
P10611228A1388|46 48|p97
P10611235A1927|124 127|MAPK
P10611242A0541|104 107|Spt8
P10611242A0541|47 49|TBP
P10611320A0816|128 131|Cdk7
P10612044A1180|90 116|transcription initiation site
P10613816X0000|0 6|Statins
P10613863T0000|115 126|pfoA promoter
P10613874A0663|150 161|GlnA proteins
P10614857A0584|95 97|IFN
P10617126A1005|168 170|CA3
P10618645A0750|18 21|AP-1
P10620335A0749|16 18|AHR
P10623758A0947|74 91|beta-galactosidase
P10623804A0808|88 92|SHP-1
P10623804A0808|101 103|SH2
P10623804A0808|130 141|Fc gamma RIIB1
P10625494A1059|61 64|MDR1
P10625683A0091|43 46|PTKs
P10627532A0739|94 96|JNK
P10627532A0739|144 174|cellular transcription factor ATF2
P10627532A0739|88 90|p38
P10627532A0739|51 74|mitogen-activated protein
P10627532A0739|21 21|R
P10627834A0178|120 122|Rex
P10628748A0344|107 110|SF-1
P10628748A0746|132 134|CRE
P10628750A0298|142 150|NF-kappaB
P10628750T0000|136 144|NF-kappaB
P10628755A0000|133 137|GHS-R
P10628971A0824|163 166|VPS1
P10630630A0614|40 42|PKC
P10630630A0614|77 83|CFI mRNA
P10633075A1111|13 33|anti-GalT Fab fragments
P10637230A0332|91 94|IFNs
P10637230A0332|19 23|c-myc
P10637337A0545|36 39|TFA1
P10639585A0157|9 15|MPO gene
P10640683A0204|5 11|NeuroD2
P10640683A0204|34 36|PKN
P10640683A0204|109 115|NeuroD2
P10640683A0204|119 121|PKN
P10640683A0670|69 75|NeuroD2
P10640683A0670|299 305|NeuroD2
P10640683A0670|220 222|PKN
P10640701T0000|26 35|Engrailed2
P10642524A0156|36 40|hsp70
P10642524A0156|44 48|hsp90
P10644357A0935|124 126|VP3
P10644357A0935|23 25|VP1
P10644753A0725|28 44|anti-FLAG antibody
P10646863A0838|75 104|endogenous topoisomerase IIalpha
P10647817T0000|74 77|PTA1
P10648020A0151|28 30|vWF
P10648020A0151|162 171|fibrinogen
P10648020A0151|57 82|tissue plasminogen activator
P10648020A0151|145 149|PAI-1
P10648619A0000|63 65|TBP
P10650938T0000|3 18|estrogen receptor
P10650938T0000|20 21|ER
P10650938T0000|83 93|trout ER gene
P10650939A0789|61 64|AP-1
P10650939A1542|111 114|luc3
P10650939A1542|33 52|progesterone receptor
P10650958A1315|119 123|c-myb
P10652102A0620|30 42|wild-type Fus3
P10652228A0759|105 107|Dbl
P10652228A0759|25 45|c-Jun N-terminal kinase
P10652324A0177|26 33|collagen
P10652362A0933|141 144|AP-2
P10652800A0984|3 9|insulin
P10652800A0984|145 151|insulin
P10653550A1120|29 36|collagen
P10653693A0903|71 75|KAP-1
P10656802A1724|25 51|cathepsin X amino acid sequence
P10657658A0165|170 178|NF-kappa B
P10657658A0165|144 157|ICAM-1 promoter
P10657899A0685|127 136|luciferase
P10657899A0685|98 101|AP-1
P10657899A0685|122 125|AP-1
P10658588A0304|127 129|HB3
P10660304A0522|147 151|STAT3
P10660304A0522|66 70|STAT3
P10660304A0522|27 41|tyrosine kinases
P10660604A0748|15 22|RXRalpha
P10660676A0000|58 64|TGFbeta
P10662550A0679|5 8|SOX8
P10662614A0972|76 77|CP
P10662614A0972|70 71|P3
P10665798A0598|63 81|alkaline phosphatase
P10666222A0330|95 110|survivin proteins
P10666238A1322|19 21|E2F
P10669594A0969|32 51|chimeric SefA proteins
P10669736A0903|29 31|CAT
P10669736A0903|110 112|PTB
P10669751T0000|84 96|c-jun promoter
P10669751T0000|8 37|mitogen-activated protein kinase
P10671224A0254|60 64|CD95L
P10671520T0000|24 57|human I-mfa domain-containing protein
P10675331A0600|70 72|Shc
P10675331A0600|142 146|Stat3
P10675610A0279|108 119|C-MYC protein
P10679065A0711|0 2|BCR
P10679065A0711|116 119|MAPK
P10679065A0711|113 115|p38
P10679065A0711|209 241|CREB serine 133 phosphoacceptor motif
P10679065A1217|93 95|BCR
P10679065A1217|39 70|chloramphenicol acetyltransferase
P10679922A1110|59 62|ING1
P10681520A0525|116 120|Cdc42
P10681520A0525|32 36|v-Src
P10681520A0525|100 102|Rac
P10681520A0525|0 2|Ras
P10681520A0525|110 112|Rho
P10681588A0899a|14 28|nuclear proteins
P10681588A0899b|14 28|nuclear proteins
P10682570A0453|6 8|SOD
P10683072T0000|78 90|interleukin-2
P10683244A0939|177 180|NBF2
P10683244A1860|68 77|NBF2 domain
P10684111A1411|68 71|MAPK
P10684111A1411|78 81|MAPK
P10684111A1411|87 90|MAPK
P10684967A0000|31 72|homeodomain-containing transcription factors
P10687855A1197|74 78|Zn-16
P10688639A1310|84 87|p300
P10688639A1310|31 34|PU.1
P10688646A0535|80 128|human alpha-globin promoter-growth hormone hybrid gene
P10688660A0992|32 34|CBP
P10688660A0992|146 172|progesterone response element
P10688661A0237|167 186|neuron-specific genes
P10688663A0207|139 144|TFIIIA
P10688663A0207|43 49|trypsin
P10688666A1010|22 25|ASK1
P10690702A0065|8 38|Acetylcholine receptor antibodies
P10692374A1873|108 110|PAN
P10692374A1873|216 218|PAN
P10692433A0000|22 24|E2F
P10693314A0521|24 28|CK-MB
P10694210A0385|21 23|H1R
P10694210A0385|181 183|H1R
P10696007A1325|27 28|C2
P10698516T0000|74 76|JNK
P10698516T0000|69 72|SAPK
P10702241A0357|11 19|a1 isoform
P10702285A0855|190 196|insulin
P10702285A0855|235 239|GLUT4
P10702794A1495|120 123|ERK2
P10702794A1495|26 29|ERK2
P10702926T0089|46 68|alpha beta T cell receptors
P10702926T0089|22 39|monoclonal antibody
P10704283A0649a|145 172|human IL-4 cytokine gene cluster
P10704499A0682|164 166|MEK
P10704499A0682|158 160|PKC
P10704499A0682|183 185|PKC
P10704853T0000|35 55|Nodal-related proteins
P10705380A0629|127 131|BMP-4
P10706475A0644|50 52|DPP
P10706688A0376|107 115|NF-kappaB
P10706688A0376|11 13|TCR
P10706688A0376|30 33|AP-1
P10706736A1091|130 134|gp100
P10706887A0281|34 36|ALK
P10706887A0281|117 119|ALK
P10706887A1457|58 60|ALK
P10708243A0000|107 130|organ-specific antibodies
P10708424A0800|59 63|BGLF4
P10712599A0349|15 19|IRF-1
P10713083A0170|80 83|TraM
P10713083A0170|32 35|TraR
P10713083A0560|74 77|TraR
P10713083A0560|61 64|TraM
P10713083A0560|103 121|transcription factor
P10713175A1399|131 133|p53
P10713176A0422|194 196|E2F
P10713176A0422|107 110|p130
P10713176A0422|46 48|E2F
P10713176A0885|102 105|cdk4
P10713453A0172|127 132|Hrb57A
P10715325A0834|147 150|EIN2
P10717612A0000|163 175|interleukin-2
P10717612A0000|177 180|IL-2
P10717612A0000|139 144|GM-CSF
P10721698A1195|156 159|CSTB
P10721698A1195|80 83|CSTB
P10721704X0000|185 203|RNA-binding proteins
P10721714A1087|46 48|Sp1
P10721714A1087|105 111|Sp1 site
P10721717A0676|7 10|FGD1
P10722737A1726|37 39|Sp1
P10722737A1726|115 117|Sp1
P10725382A0398|111 114|SOS2
P10727413A1244|238 244|insulin
P10727426A1280|37 39|CDK
P10727428A0000|119 128|MAP kinases
P10727433A0560|210 223|protein kinase C
P10727433A0560|111 113|AP1
P10727433A0560|49 53|CSF-1
P10727433A0560|195 206|oncogenic ras
P10727433T0000|130 134|CSF-1
P10727511A0294|64 68|GLT-1
P10727515A1202|159 172|pertussis toxin
P10729220A0000|56 63|H19 genes
P10729221A0798|46 61|Kv4 family members
P10731411A0958|94 113|DEAD-box RNA helicases
P10732669A0510|186 203|HD-Zip binding sites
P10732669A1336|157 170|HD-Zip proteins
P10732669A1336|84 97|HD-Zip proteins
P10733569A0364|19 22|HSF1
P10733569A0364|119 122|HSF2
P10733581A1391|100 104|TTF-1
P10733591A0146|123 125|JNK
P10733591A0146|85 87|p70
P10733591A0146|55 59|actin
P10733591A0533|94 98|Cdc42
P10733591A0533|21 25|Cdc42
P10734312A0503|19 21|Shc
P10734312A0503|97 99|Shc
P10734312A0503|71 73|Shc
P10734312A0503|153 162|C-terminus
P10735848A1440|0 3|RegA
P10736223A1227|88 91|PrgX
P10739671A0136|315 318|IRFs
P10742114A0486|0 3|Dll3
P10744749A0315|41 43|Tax
P10744749A0315|161 171|bHLH factors
P10744749A0315|124 127|MyoD
P10744749T0000|102 105|MyoD
P10744749T0000|130 133|p300
P10744749T0000|63 66|MyoD
P10747053A1102|187 189|MBF
P10747053A1102|152 156|TAF17
P10747053A1102|181 183|SBF
P10747099A0507|30 32|ERK
P10747099A0507|127 129|Crk
P10747782A0390|13 16|Mbp1
P10747782A0390|169 179|core domains
P10748113A0187|66 69|RIM1
P10748125A0000|94 96|PP1
P10749145T0000|106 108|Ras
P10749145T0000|121 159|extracellular signal-regulated kinase ERK1
P10749849A0000|151 153|p21
P10749932A0000|33 40|integrin
P10750020A0843|61 63|Sp1
P10750020A0843|132 133|ER
P10750020A0843|58 59|ER
P10750020A0843|5 16|growth factor
P10750020A0843|29 30|ER
P10750021A0728|84 85|P2
P10751398A1135|70 73|CD40
P10751398A1135|76 114|Epstein-Barr virus latent membrane protein 1
P10752807A1598|35 59|platelet-activating factor
P10756100A0457|39 41|IB1
P10756225A1464|132 139|IL-5 mRNA
P10757983A0733|78 94|zinc finger protein
P10757983A0733|156 175|mouse ZBP-89 homologue
P10758489A0206|84 86|CDK
P10760109A1050|185 194|hemoglobin
P10760109A1050|150 154|IGF-1
P10760132A1169|67 76|Ypt protein
P10760950A1133|93 97|actin
P10762254A0954|14 34|TMA methyltransferases
P10762348A0269|21 32|STAT proteins
P10763827A1158|90 97|TGFbeta1
P10764760T0000|64 66|JNK
P10765095A0308|200 202|PRL
P10765095A0308|31 33|PRL
P10766246A0000|0 24|Integrin adhesion receptors
P10767560A0105|126 147|mouse Pkr promoter region
P10767560A0105|159 161|IFN
P10769144A0000|88 105|cAMP-regulated gene
P10771528T0036|18 36|alkaline phosphatase
P10771709A0291|90 92|IgM
P10771709A0291|132 142|IgG antibody
P10772977A0222|27 37|PVX CP mutant
P10773351A0672|96 98|GAS
P10773351A0672|53 61|IFN-gamma
P10773455A1268|273 277|ALAS2
P10773667A0351|18 30|HMG20 proteins
P10773667A0351|3 11|HMG domain
P10773951A0000|0 2|IgM
P10773951A0000|17 29|anti B antibody
P10775038A0142|23 26|Wee1
P10775585A0754|27 28|S2
P10775585A0754|136 138|Ras
P10775585A0754|149 172|mitogen-activated protein
P10775623A0120|50 57|env genes
P10777217A0536|37 48|PIG3 promoter
P10777217A0536|65 67|p53
P10777217A0536|140 151|PIG3 promoter
P10777586A1022|59 61|Sp1
P10778740A1493|13 16|Cdk2
P10778757A0000|157 161|INCW2
P10779313A1842|140 142|PKA
P10779329T0000|23 25|Src
P10779329T0000|59 61|Src
P10779352T0000|90 99|Rb proteins
P10779508A0452|2 7|DNase I
P10779508A0452|75 98|glutathione S-transferase
P10779508A0897|57 65|ERRalpha1
P10779508T0000|120 139|human lactoferrin gene
P10780883T0000|115 130|interferon-alpha
P10781423A0993|131 135|TTF-1
P10781604A0827|102 108|Rsp5 WW2
P10782989A0575|115 130|DNA binding domain
P10787437A1616|69 73|SRE-1
P10788476A0891|78 79|ER
P10790390X0000|71 74|mdg4
P10790390X0000|93 96|mdg4
P10790390X0000|254 265|homeotic gene
P10792718T0000|32 35|BarX
P10793143A1533|57 60|Abf1
P10793143A1533|106 109|Cdc6
P10799501A1391|90 94|Cdc42
P10799590A0431|165 171|EBNA-3C
P10799595A1454|9 11|YY1
P10799595A1454|74 88|HPV-6 E1 promoter
P10799863T0000|101 116|MHC class I antigen
P10799879T0000|78 96|Src homology 2 domains
P10801330A1714|133 135|FAK
P10801482A0968|14 16|p65
P10801482A0968|118 130|kappaB targets
P10801809T0000|75 86|PHO5 promoter
P10805286A0233|143 149|PCI mRNA
P10805286A0914|116 122|PCI mRNA
P10805286A0914|12 18|PCI mRNA
P10805729A0987|81 84|DDP1
P10805737T0000|117 120|eIF5
P10805737T0000|91 101|beta subunit
P10805737T0000|111 114|eIF5
P10805737T0000|58 61|eIF5
P10805738A0799|265 268|MyoD
P10805738A0799|51 59|p38 kinase
P10805738A0799|43 46|MyoD
P10805738A0799|278 281|MyoD
P10805738A0799|140 142|p38
P10805738A0799|187 190|MyoD
P10805738A0799|25 27|p38
P10805739A0343|54 66|eIF2B subunits
P10805739A0640|139 142|eIF2
P10807903A0362|18 19|CT
P10807903A0362|6 7|CT
P10810083A1283|58 72|zinc finger motif
P10810294A0730|31 34|IL-6
P10811804A0000|139 148|MAP kinases
P10811804A0000|135 137|ERK
P10811804A0800|134 138|MKP-3
P10811804A0800|86 90|Elk-1
P10811804A0800|109 111|ERK
P10811908A0938|87 90|NCLK
P10812294X0000|28 30|SBF
P10812294X0000|76 78|SBF
P10815410A0000|120 122|TNF
P10815410A0000|108 111|IL-1
P10815410A0000|113 116|IL-6
P10817754T0000|6 9|Igf2
P10817754T0000|0 2|H19
P10817754T0000|103 105|H19
P10819327T0000|22 26|KAP-1
P10823961A0664|25 27|CBP
P10823961A0664|69 71|ARC
P10823961A0664|29 32|p300
P10823961A0664|97 100|TRBP
P10823961A0664|14 17|TRBP
P10824485A0393|57 60|CD4+
P10825200T0000|130 133|IL-2
P10825200T0000|35 47|interleukin-2
P10825200T0000|114 116|Lck
P10825200T0000|49 52|IL-2
P10825200T0000|143 146|STAT
P10825294A0473|11 20|OC promoter
P10825294A0473|67 69|LTR
P10826861A0000|3 34|monoclonal immunoglobulin products
P10826861A0000|3 26|monoclonal immunoglobulin
P10827952A0158|46 50|TFIID
P10831972A1091|62 65|CD23
P10834707A1533|32 55|platelet activating factor
P10835355A0225|150 153|SSA3
P10836786A0516|145 153|RNase P RNA
P10836786A0516|121 122|P3
P10838139A1447|14 35|Ha-ras codon 12 mutations
P10839547A0978|23 26|CTCF
P10843716A0406|3 15|tryptase locus
P10846069T0000|40 47|P protein
P10848605T0000|118 129|Eph receptors
P10850329A0248|0 3|IL-2
P10850453A0713|113 121|TGF-beta1
P10850453A0713|88 96|TGF-beta1
P10850453A1292|127 135|TGF-beta1
P10850453A1292|57 59|Ras
P10850453A1292|61 64|MAPK
P10850997A1016|59 61|Fur
P10851267A0000|8 26|transcription factor
P10852485A0477|28 32|Q gene
P10852485A0477|110 114|Q gene
P10854004A0788|38 40|ERT
P10854699A0424|113 126|FGF-AS sequence
P10855690A0870|38 46|MAP kinase
P10855690A0870|77 83|NF-IL-6
P10855796A1160|67 75|EphA8 gene
P10856298A0798|176 190|wild-type enzyme
P10857751A0304|34 41|Smarcal1
P10858988A0786|6 13|tryptase
P10860846A0480|137 139|AP2
P10860846A0480|106 108|AP2
P10860846A0480|166 180|HGF gene promoter
P10861080A0433|38 49|IkappaBalpha
P10861080A0433|81 89|TNF-alpha
P10861080A0433|25 36|IkappaBalpha
P10861086A0904|34 38|a-Src
P10861906A0999|85 88|IME1
P10861906A0999|156 159|IME2
P10861906A0999|92 95|IME2
P10861906A0999|136 139|IME1
P10861906A1479|91 94|CCL1
P10862289A0289|101 110|A60 antigen
P10864496A0401|71 91|nrgAB promoter fragment
P10864989A0484|28 31|PAIP
P10865422A0138|34 43|hemoglobin
P10865422A0138|45 46|Hb
P10865422A0138|21 28|ferritin
P10865940A0000|142 150|NF-kappaB
P10866323A0666|69 72|STAT
P10866689A0295|97 99|pRb
P10866886A1277|48 71|morphine-like mu-receptor
P10869076A1384|93 95|Rho
P10871379A0261|6 9|VP16
P10871379A0261|61 63|HCF
P10871412A0369|79 83|Rz007
P10872831A0000|74 77|EPOR
P10873158A0000|12 24|nuclear factor
P10873387A0816|19 27|human gene
P10873388A0623|7 23|human Rhotekin cDNA
P10874044A0647|73 76|ERK2
P10878398A0542|104 106|Epo
P10878398A0542|23 25|Epo
P10878398A0542|114 116|Epo
P10880486A0790|101 104|RhoA
P10881275T0000|15 17|IgM
P10882850A0000|40 53|DNA glycosylase
P10885750A0236|51 56|CREB-2
P10889399A0243|64 66|MEK
P10890911A0470|131 149|Xenopus homeobox gene
P10890911A0470|73 79|TGFbeta
P10891286A0000|87 91|actin
P10891399A1185|152 156|c-fos
P10891399A1185|69 71|p21
P10891399A1185|116 123|AP-1 site
P10891441A0871|58 61|Grb2
P10891441A0871|63 66|Sos1
P10894149T0000|168 176|ERRalpha1
P10894816A0836|122 125|IL-6
P10897973T0001|0 14|Antithrombin III
P10897973T0001|78 92|antithrombin III
P10898795A0527|39 43|HDACs
P10898795A0527|122 126|HDACs
P10899128A0661|150 162|mammalian gene
P10900129A0138|58 71|CYP3A sequences
P10903440A0515|26 31|TSGF-2
P10903733A0540|116 120|TRAF2
P10903733A0540|125 144|TRAF3 adaptor proteins
P10903837A1208|70 73|VSX1
P10903877A0879|61 63|PKC
P10903877A0879|12 14|PKA
P10903877A0879|136 144|ERK kinase
P10905349A0329|44 69|XPF endonuclease superfamily
P10905352A0000|130 144|terminal protein
P10907971A0806|36 51|HMG-CoA reductase
P10907971T0000|28 43|HMG-CoA reductase
P10909973A1508|138 140|PKA
P10909973A1508|32 34|CRE
P10909973A1508|22 26|GLP-1
P10909973A1508|71 74|CREB
P10910908A0767|32 34|Akt
P10910908A0767|91 93|EPO
P10913172A0442|51 55|Rad24
P10913276A0510|77 95|PLC-gamma1 SH3 domain
P10913276A0684|56 64|SH3 domain
P10913276A0684|109 112|SOS1
P10913304A0894|67 69|PE1
P10913304A1180|128 130|PE1
P10913304A1180|140 155|C-terminal domain
P10915728A0216|155 157|IFN
P10915780A1063|154 161|cyclin D1
P10918059A0569|13 21|RVH domain
P10918440T0000|38 72|granulocyte colony-stimulating factor
P10918572A0794|0 2|VaI
P10918572A1547|187 190|ErbB
P10918596A0000|85 101|wild-type molecule
P10918599A0071|146 147|Rb
P10918612A0000|26 30|c-Jun
P10920186A0528|66 83|chimeric transcript
P10925159A1353|108 113|MARTA2
P10926776A0731|9 20|PDP1 isoforms
P10928337A0590|29 58|recombinant human erythropoietin
P10928477A0764|62 64|vWF
P10930526A0174|60 67|HuPLSCR1
P10931524A0313|32 34|Gtx
P10931950A0869|0 3|Cdk2
P10931950A0869|7 10|MAPK
P10931960A0630|136 164|herpes simplex viral protein VP16
P10932196A0359|14 21|RP2 locus
P10933728A1398|59 63|EBNA2
P10933728A1398|243 247|EBNA2
P10935488A1033|103 108|A-FABP
P10938102A1359|128 136|viral mRNA
P10938102T0000|60 69|NS1 protein
P10938109A1361|37 39|Ras
P10938109A1361|67 73|insulin
P10938120A1093|88 90|PKA
P10938120A1093|94 97|MAPK
P10938130A0338|36 39|PLZF
P10938135A0259|176 204|epidermal growth factor receptor
P10938135A0259|118 131|tyrosine kinase
P10940553A0912|91 104|human hPer1 gene
P10942587A0981|211 227|anti-E7 antibodies
P10942587A0981|187 188|Rb
P10942587A0981|41 42|Rb
P10942599A1298|92 104|Hoxa-1 protein
P10944466A0451|33 42|WNT-2B gene
P10946303A0000|0 8|TNF-alpha
P10954093A0000|25 27|Pat
P10954564A1262|57 75|immediate-early gene
P10954913A0152|7 21|full-length cDNA
P10955998A1124|78 86|S120K MutY
P10958698A0485|24 39|N-terminal domain
P10958698A0485|58 60|HFD
P10959838A0153|65 84|nitrilase superfamily
P10961046A0342|66 68|vWF
P10961046A0342|33 42|fibrinogen
P10964995A2152|141 145|HER-2
P10965135A0735|70 72|ras
P10965135A0735|193 195|MKK
P10965135A1207|116 118|MKK
P10965905A1618|194 202|MAP kinase
P10965905A1618|17 19|Akt
P10965905A1618|311 319|MAP kinase
P10965905T0000|69 98|mitogen-activated protein kinase
P10972980A0295|117 140|heterotrimeric G-proteins
P10972990A0196|3 28|tumor-suppressor protein p53
P10972990A0526|12 14|p53
P10972990A1518|32 41|p53 protein
P10974541A0389|64 68|MZF1C
P10980416T0000|126 130|Pit-1
P10982391A0425|124 139|N-terminal domain
P10982825A0363|66 68|OpA
P10987280A0604|76 89|Zn-binding site
P10987301A0332|257 260|VEGF
P10992299A0745|72 75|PI12
P10995751A0093|139 179|gamma-IFN-activated transcriptional element
P10997330A0361|99 105|PML gene
P11000203A0752|69 93|K-Rev-dependent nuclear RNA
P11000250A0200|83 91|NF-kappaB
P11000250A0200|94 97|AP-1
P11000250A0200|103 106|STAT
P11000250A0200|131 134|CD40
P11000266T0000|71 91|alpha-fetoprotein gene
P11000521A0588|282 284|PKB
P11003653A0198|169 178|PYR complex
P11003669A0000|94 128|ErbB-2 juxtamembrane and kinase domains
P11005808A1082|48 51|MAPK
P11005808A1082|45 51|ERK MAPK
P11005808A1082|45 47|ERK
P11005831A0242|148 182|ABA-responsive element binding protein
P11006284T0000|70 95|insulin receptor substrate-1
P11007954A0170|106 108|Ras
P11007954A0170|169 171|Ras
P11007954A0170|221 223|Ras
P11007954A0170|38 41|Grb2
P11007961A0930|92 95|PP2A
P11008420A0580|67 70|ST-T
P11011139A0000|144 147|Sin4
P11011139A0000|91 105|RNA polymerase II
P11012680A0676|0 2|Src
P11012680A0676|41 43|SH2
P11012680A0676|52 54|Src
P11012680A0676|82 84|Src
P11012680A1020|142 146|PDGFR
P11012680A1020|201 204|ERK2
P11013079A0927|193 204|SV40 promoter
P11014213A1019|140 156|chimeric receptors
P11014213A1019|161 162|ER
P11014821T0000|9 21|protein kinase
P11016014A0181|72 109|apolipoprotein B-containing lipoproteins
P11016850A0423|132 136|LTTRs
P11016954A0438|42 46|RDE-1
P11018028A0263|34 60|cAMP-dependent protein kinase
P11018028A0263|126 131|RasGEF
P11018028A0263|62 64|PKA
P11023832A1038|121 150|mitogen-activated protein kinase
P11023832A1038|85 87|PLD
P11023832A1038|165 173|NF-kappaB
P11023832A1038|152 160|MAP kinase
P11024036A0984|108 126|wild-type constructs
P11024300A1579|195 203|TIG-1 mRNA
P11024300A1579|139 141|ARC
P11027280A0536|49 53|Smad4
P11027280A0536|74 78|Smad3
P11027289A0321|53 56|ARM2
P11027294A0483|60 63|p300
P11029045A0000|17 20|Cdc2
P11029459A0000|31 39|TGF-beta1
P11029656A0640|61 74|mutant proteins
P11029704A0378|152 155|ABI3
P11029704A0378|295 298|ABI3
P11029704A0378|145 148|ABI3
P11029704A0378|245 249|G-box
P11030744A0763|95 105|DPM synthase
P11031252A0646|150 157|PKC delta
P11032599T0000|38 75|hematopoietic colony-stimulating factors
P11034392A1072|126 129|CD40
P11034392A1072|92 100|NF-kappaB
P11034547A0674|119 145|homeodomain recognition sites
P11034547A1355|118 128|DBH promoter
P11035037A0183|54 56|TBP
P11035037A0183|75 77|TBP
P11036938A1162|51 63|erbB receptors
P11038118A0000|124 126|BSA
P11038118A0000|105 122|bovine serum albumin
P11038317A0000|17 35|GTP-binding proteins
P11038366A1417|49 52|PP2A
P11038366A1417|100 103|PP2A
P11040101A1180|144 146|JNK
P11040101A1180|134 136|p38
P11040101A1180|137 140|MAPK
P11040101A1180|33 40|IL-1 beta
P11040101A1180|199 202|VEGF
P11040101A1180|120 127|IL-1 beta
P11040219A0548|9 12|NusA
P11042199A0572|217 220|CREB
P11042204A0186|90 92|Akt
P11042204A0186|62 70|p38 kinase
P11043469A0440|122 123|TR
P11044097T0000|85 131|human immunodeficiency virus type 1 proviral promoter
P11046148A0716|13 15|Lyn
P11046148A0716|133 149|Lyn tyrosine kinase
P11046153A1052|76 90|p300 coactivator
P11046153A1052|8 10|Tax
P11046517A0619|34 34|Z
P11050084A0000|65 73|PPARalpha
P11050084A0888|39 47|PPARgamma
P11050084A0888|27 35|PPARalpha
P11050168A1185|133 150|RNA-binding protein
P11053370A0708|124 126|Uhp
P11053370A0708|77 100|glutathione S-transferase
P11053370A0708|102 104|GST
P11054565A0654|207 215|p190 genes
P11054970A0282|76 78|NF1
P11056007A0224|180 183|rMTM
P11056019A0926|12 22|glycosylase
P11058119A0957|83 85|XPA
P11058120A0256|18 22|IRF-2
P11058120A0256|71 75|IRF-1
P11059786A0682|100 103|EGFR
P11059786A0682|105 107|Ras
P11062067A0000|70 72|JNK
P11062067A0000|48 68|c-Jun N-terminal kinase
P11062068T0000|21 44|mitogen-activated protein
P11062068T0000|110 128|p38 C-terminal domain
P11062274T0000|47 72|tissue plasminogen activator
P11062705A0658|43 47|ATF-2
P11063127A0000|103 106|PP2A
P11063252A0437|37 59|HSL translation start site
P11063742A0000|0 8|NF-kappaB
P11063742A0000|12 45|redox-sensitive transcription factor
P11067928A0532|71 81|Jkappa genes
P11069307A0546|174 177|DED1
P11069756A2618|285 287|p38
P11069756A2618|120 122|FAK
P11069756A2618|245 248|MAPK
P11069756A2618|289 291|JNK
P11069756A2618|250 279|mitogen-activated protein kinase
P11069756A2618|421 423|Rac
P11069756A2618|281 283|ERK
P11069897A1112|39 43|BACH1
P11069999A1602|49 54|HIV LTR
P11070078A1153|42 44|p53
P11070078A1153|48 49|Rb
P11070078A1153|112 116|HPV E6
P11071651A1308|111 117|FR-beta
